name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_expectation_maximization,impute_soft_imputer,impute_xgb_imputer,impute_catboost,impute_rfi,impute_autoimpute,impute_gain,impute_vae,impute_mlp
abalone,'Length',4177.0,0.3574,0.0488,0.13,0.815,0.5216,0.54,0.1201,-0.5988,0.0073,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5103,0.0056,KNN,0.167582167289949,0.1753309618376977,0.1722729690189288,0.1718612863155605,0.1719490211626867,0.1744949292377153,0.1788189868786149,0.1750909102505568,0.1770414048739409
abalone,'Length',4177.0,0.3574,0.0488,0.13,0.815,0.5216,0.54,0.1201,-0.5988,0.0073,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5103,0.0056,RandomForest,0.1778719265558709,0.1730099824671493,0.1721235530003315,0.1726177232775534,0.1726265797364799,0.1749354168174222,0.1748266914588381,0.1806719812873071,0.1761148036864026
abalone,'Length',4177.0,0.3574,0.0488,0.13,0.815,0.5216,0.54,0.1201,-0.5988,0.0073,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5103,0.0056,AdaBoost,0.0871606658370126,0.0991618637124291,0.1007612062506583,0.1007612062506583,0.1007612062506583,0.1032438909416579,0.106228706606152,0.0871606658370126,0.1026774820397826
abalone,'Length',4177.0,0.3574,0.0488,0.13,0.815,0.5216,0.54,0.1201,-0.5988,0.0073,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5103,0.0056,SVC,0.1778751231702488,0.1638662092514203,0.1696523178424931,0.1708670835365115,0.172041319664098,0.1687138767989081,0.1707139422934043,0.1746181949132542,0.1690138289642241
abalone,'Length',4177.0,0.2935,0.0447,0.11,0.815,0.5229,0.54,0.1204,-0.6182,0.0079,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5147,0.0055,DecisionTree,0.1834188203501333,0.1953519981784519,0.1893129295090125,0.1893129295090125,0.1893129295090125,0.1893129295090125,0.1883871121738738,0.188450336945903,0.1895954767716776
abalone,'Length',4177.0,0.2935,0.0447,0.11,0.815,0.5229,0.54,0.1204,-0.6182,0.0079,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5147,0.0055,LogisticRegression,0.1964987901463886,0.1837325624775307,0.1933158486474514,0.1955114468112995,0.193537195033768,0.1932101004134914,0.1956530925979397,0.1941856543043972,0.1961129844960669
abalone,'Length',4177.0,0.2935,0.0447,0.11,0.815,0.5229,0.54,0.1204,-0.6182,0.0079,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5147,0.0055,KNN,0.1708975236053569,0.1789143671008224,0.1767161155772336,0.1793353502983926,0.1778181835771058,0.1773783990272536,0.1794483019617901,0.171035810736522,0.180356185903501
abalone,'Length',4177.0,0.2935,0.0447,0.11,0.815,0.5229,0.54,0.1204,-0.6182,0.0079,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5147,0.0055,RandomForest,0.1963520532776786,0.1934096629844786,0.1960595344209461,0.1955214878020455,0.1956803752921655,0.1949933292605384,0.1966561706690042,0.192220094135687,0.1946028952063656
abalone,'Length',4177.0,0.2935,0.0447,0.11,0.815,0.5229,0.54,0.1204,-0.6182,0.0079,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5147,0.0055,AdaBoost,0.0803124423869045,0.0992521209206297,0.0904126661631801,0.0904126661631801,0.0904126661631801,0.0904126661631801,0.0904126661631801,0.0803124423869045,0.0904126661631801
abalone,'Length',4177.0,0.2935,0.0447,0.11,0.815,0.5229,0.54,0.1204,-0.6182,0.0079,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5147,0.0055,SVC,0.184978010206511,0.182826125528116,0.1845031321532556,0.1844580826143518,0.1846160781814352,0.1845031321532556,0.1844381972733061,0.1834534172225367,0.1834225277647273
abalone,'Length',4177.0,0.2466,0.0416,0.075,0.8,0.5252,0.545,0.1193,-0.6516,0.0598,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5034,0.0056,DecisionTree,0.2051439454073122,0.1995126811387167,0.1875452136613115,0.1887725835158157,0.1896061967926888,0.1887725835158157,0.1935057752743753,0.1991918738091151,0.1875452136613115
